©	版权
🔃	顺时针箭头
🔄	逆时针箭头
🔅	低亮度
🔆	高亮度
🔇	扬声器关闭
🔈	扬声器
🔉	小音量
🔊	大音量
🔋	电池
🔌	电源插头
🔍	左斜的放大镜
🔎	右斜的放大镜
🔏	墨水笔和锁
🔐	钥匙和锁
🔑	钥匙
🔒	锁
🔓	打开的锁
🔔	铃铛
🔕	禁止响铃
🔖	书签
🔗	链接
🔘	按钮
🔙	返回
🔚	结束
🔛	ON
🔜	马上
🔝	置顶
🔞	18禁
🔟	按键: 10
🔠	大写字母键
🔡	小写字母键
🔢	输入数字
🔣	输入符号
🔤	拉丁字母键
🔥	火焰
🔦	手电
🔧	扳手
🔨	锤子
🔩	螺母与螺栓
🔪	菜刀
🔫	手枪
🔬	显微镜
🔭	望远镜
🔮	水晶球
🔯	六芒星加圆点
🔰	日本新手上路标志
🔱	三叉戟
🔲	黑色方形按钮
🔳	白色方形按钮
🔴	红色圆
🔵	蓝色圆
🔶	橙色大菱形
🔷	蓝色大菱形
🔸	橙色小菱形
🔹	蓝色小菱形
🔺	红色正三角
🔻	红色倒三角
🔼	向上
🔽	向下
🕉	奥姆
🕊	鸽
🕋	克尔白
🕌	清真寺
🕍	犹太教堂
🕎	烛台
🕐	一点
🕑	两点
🕒	三点
🕓	四点
🕔	五点
🕕	六点
🕖	七点
🕗	八点
🕘	九点
🕙	十点
🕚	十一点
🕛	十二点
🕜	一点半
🕝	两点半
🕞	三点半
🕟	四点半
🕠	五点半
🕡	六点半
🕢	七点半
🕣	八点半
🕤	九点半
🕥	十点半
🕦	十一点半
🕧	十二点半
🕯	蜡烛
🕰	座钟
🕳	洞
🕴	西装革履的人
🕵	侦探
🕶	墨镜
🕷	蜘蛛
🕸	蜘蛛网
🕹	游戏操控杆
🕺	跳舞的男人
🖇	两个回形针
🖊	笔
🖋	钢笔
🖌	毛笔
🖍	蜡笔
🖐	手掌
🖕	竖中指
🖖	瓦肯举手礼
🖤	黑心
🖥	台式电脑
🖨	打印机
🖱	鼠标
🖲	轨迹球
🖼	带框的画
🗂	索引分隔文件夹
🗃	卡片盒
🗄	文件柜
🗑	垃圾桶
🗒	线圈本
🗓	线圈日历
🗜	压缩机
🗝	老式钥匙
🗞	报纸卷
🗡	匕首
🗣	说话
🗨	朝左的话语气泡
🗯	愤怒话语气泡
🗳	投票箱
🗺	世界地图
🗻	富士山
🗼	东京塔
🗽	自由女神像
🗾	日本地图
🗿	摩艾石像
😀	嘿嘿
😁	嘻嘻
😂	笑哭了
😃	哈哈
😄	大笑
😅	苦笑
😆	斜眼笑
😇	微笑天使
😈	恶魔微笑
😉	眨眼
😊	羞涩微笑
😋	好吃
😌	松了口气
😍	花痴
😎	墨镜笑脸
😏	得意
😐	冷漠
😑	无语
😒	不高兴
😓	汗
😔	沉思
😕	困扰
😖	困惑
😗	亲亲
😘	飞吻
😙	微笑亲亲
😚	羞涩亲亲
😛	吐舌
😜	单眼吐舌
😝	眯眼吐舌
😞	失望
😟	担心
😠	生气
😡	怒火中烧
😢	哭
😣	痛苦
😤	傲慢
😥	失望但如释重负
😦	啊
😧	极度痛苦
😨	害怕
😩	累死了
😪	困
😫	累
😬	龇牙咧嘴
😭	放声大哭
😮	吃惊
😯	缄默
😰	冷汗
😱	吓死了
😲	震惊
😳	脸红
😴	睡着了
😵	晕头转向
😶	沉默
😷	感冒
😸	微笑的猫脸
😹	笑出眼泪的猫脸
😺	大笑的猫脸
😻	花痴的猫脸
😼	奸笑的猫脸
😽	猫脸亲亲
😾	生气的猫脸
😿	哭泣的猫脸
🙀	疲倦的猫脸
🙁	微微不满
🙂	呵呵
🙃	倒脸
🙄	翻白眼
🙅	禁止手势
🙆	OK手势
🙇	鞠躬
🙈	非礼勿视
🙉	非礼勿听
🙊	非礼勿言
🙋	举手
🙌	举双手
🙍	皱眉
🙎	撅嘴
🙏	双手合十
🚀	火箭
🚁	直升机
🚂	蒸汽火车
🚃	轨道车
🚄	高速列车
🚅	子弹头高速列车
🚆	火车
🚇	地铁
🚈	轻轨
🚉	车站
🚊	路面电车
🚋	有轨电车
🚌	公交车
🚍	迎面驶来的公交车
🚎	老式电车
🚏	公交车站
🚐	小巴
🚑	救护车
🚒	消防车
🚓	警车
🚔	迎面驶来的警车
🚕	出租车
🚖	迎面驶来的出租车
🚗	汽车
🚘	迎面驶来的汽车
🚙	休闲车
🚚	货车
🚛	铰接式货车
🚜	拖拉机
🚝	单轨
🚞	铁路隧道
🚟	空轨
🚠	缆车
🚡	索道
🚢	船
🚣	划艇
🚤	快艇
🚥	横向的红绿灯
🚦	纵向的红绿灯
🚧	路障
🚨	警车灯
🚩	三角旗
🚪	门
🚫	禁止
🚬	吸烟
🚭	禁止吸烟
🚮	倒垃圾
🚯	禁止乱扔垃圾
🚰	饮用水
🚱	非饮用水
🚲	自行车
🚳	禁止自行车
🚴	骑自行车
🚵	骑山地车
🚶	行人
🚷	禁止行人通行
🚸	儿童过街
🚹	男厕
🚺	女厕
🚻	卫生间
🚼	宝宝
🚽	马桶
🚾	厕所
🚿	淋浴
🛀	盆浴
🛁	澡盆
🛂	护照检查
🛃	海关
🛄	提取行李
🛅	寄存行李
🛋	沙发和灯
🛌	躺在床上的人
🛍	购物袋
🛎	服务铃
🛏	床
🛐	宗教场所
🛑	停止标志
🛒	购物车
🛕	印度寺庙
🛖	小屋
🛗	电梯
🛜	无线
🛝	游乐场滑梯
🛞	车轮
🛟	救生圈
🛠	锤子与扳手
🛡	盾牌
🛢	石油桶
🛣	高速公路
🛤	铁轨
🛥	摩托艇
🛩	小型飞机
🛫	航班起飞
🛬	航班降落
🛰	卫星
🛳	客轮
🛴	滑板车
🛵	电动车
🛶	独木舟
🛷	雪橇
🛸	飞碟
🛹	滑板
🛺	三轮摩托车
🛻	敞蓬小型载货卡车
🛼	四轮滑冰鞋
🟠	橙色圆
🟡	黄色圆
🟢	绿色圆
🟣	紫色圆
🟤	棕色圆
🟥	红色方块
🟦	蓝色方块
🟧	橙色方块
🟨	黄色方块
🟩	绿色方块
🟪	紫色方块
🟫	棕色方块
🟰	粗等号
🤌	捏手指
🤍	白心
🤎	棕心
🤏	捏合的手势
🤐	闭嘴
🤑	发财
🤒	发烧
🤓	书呆子脸
🤔	想一想
🤕	受伤
🤖	机器人
🤗	抱抱
🤘	摇滚
🤙	给我打电话
🤚	立起的手背
🤛	朝左的拳头
🤜	朝右的拳头
🤝	握手
🤞	交叉的手指
🤟	爱你的姿态
🤠	牛仔帽脸
