®	marque déposée
💴	billet en yens
💵	billet en dollars
💶	billet en euros
💷	billet en livres
💸	billet avec des ailes
💹	courbe avec yen en hausse
💺	siège
💻	ordinateur portable
💼	porte-documents
💽	disque d’ordinateur
💾	disquette
💿	CD
📀	DVD
📁	dossier
📂	dossier ouvert
📃	page enroulée
📄	page
📅	calendrier
📆	éphéméride
📇	carnet d’adresses
📈	graphique en hausse
📉	graphique en baisse
📊	graphiques à barres
📋	porte-bloc
📌	punaise
📍	épingle
📎	trombone
📏	règle
📐	équerre
📑	signets
📒	carnet de compte
📓	carnet
📔	carnet avec couverture
📕	livre fermé
📖	livre ouvert
📗	livre vert
📘	livre bleu
📙	livre orange
📚	livres
📛	badge nominatif
📜	parchemin
📝	mémo
📞	combiné téléphonique
📟	bipeur
📠	fax
📡	antenne satellite
📢	haut-parleur
📣	porte-voix
📤	boîte d’envoi
📥	boîte de réception
📦	colis
📧	e-mail
📨	message reçu
📩	enveloppe avec flèche
📪	boîte aux lettres fermée drapeau baissé
📫	boîte aux lettres fermée drapeau levé
📬	boîte aux lettres ouverte drapeau levé
📭	boîte aux lettres ouverte drapeau baissé
📮	boîte aux lettres
📯	cor postal
📰	journal
📱	téléphone portable
📲	appel entrant
📳	mode vibreur
📴	téléphone éteint
📵	téléphones portables interdits
📶	barres de réseau
📷	appareil photo
📸	appareil photo avec flash
📹	caméscope
📺	téléviseur
📻	radio
📼	cassette vidéo
📽	projecteur cinématographique
📿	chapelet
🔀	bouton lecture aléatoire
🔁	bouton répétition
🔂	bouton répétition de la piste
🔃	flèches dans le sens horaire
🔄	flèches dans le sens antihoraire
🔅	luminosité faible
🔆	luminosité élevée
🔇	muet
🔈	volume des enceintes faible
🔉	volume des enceintes moyen
🔊	volume des enceintes élevé
🔋	pile
🔌	câble avec fiche électrique
🔍	loupe orientée à gauche
🔎	loupe orientée à droite
🔏	cadenas fermé avec stylo
🔐	cadenas fermé avec clé
🔑	clé
🔒	cadenas fermé
🔓	cadenas ouvert
🔔	cloche
🔕	alarme désactivée
🔖	marque-page
🔗	chaînons
🔘	bouton radio
🔙	flèche Retour
🔚	flèche Fin
🔛	flèche Activé
🔜	flèche Bientôt
🔝	flèche En haut
🔞	dix-huit ans et plus
🔟	touche dix
🔠	majuscules
🔡	minuscules
🔢	saisie de chiffres
🔣	saisie de symboles
🔤	alphabet latin
🔥	feu
🔦	torche
🔧	clé à molette
🔨	marteau
🔩	vis et écrou
🔪	couteau de cuisine
🔫	pistolet
🔬	microscope
🔭	télescope
🔮	boule de cristal
🔯	étoile à six branches
🔰	symbole japonais de débutant
🔱	trident
🔲	carré noir
🔳	carré blanc
🔴	disque rouge
🔵	disque bleu
🔶	grand losange orange
🔷	grand losange bleu
🔸	petit losange orange
🔹	petit losange bleu
🔺	triangle rouge pointant vers le haut
🔻	triangle rouge pointant vers le bas
🔼	petit triangle haut
🔽	petit triangle bas
🕉	om
🕊	colombe
🕋	kaaba
🕌	mosquée
🕍	synagogue
🕎	chandelier à sept branches
🕐	une heure
🕑	deux heures
🕒	trois heures
🕓	quatre heures
🕔	cinq heures
🕕	six heures
🕖	sept heures
🕗	huit heures
🕘	neuf heures
🕙	dix heures
🕚	onze heures
🕛	douze heures
🕜	une heure et demie
🕝	deux heures et demie
🕞	trois heures et demie
🕟	quatre heures et demie
🕠	cinq heures et demie
🕡	six heures et demie
🕢	sept heures et demie
🕣	huit heures et demie
🕤	neuf heures et demie
🕥	dix heures et demie
🕦	onze heures et demie
🕧	douze heures et demie
🕯	bougie
🕰	pendule
🕳	trou
🕴	homme d’affaires en lévitation
🕵	détective
🕶	lunettes de soleil
🕷	araignée
🕸	toile d’araignée
🕹	manette de jeu
🕺	danseur
🖇	trombones
🖊	stylo
🖋	stylo plume
🖌	pinceau
🖍	crayon pastel
🖐	main levée doigts écartés
🖕	doigt d’honneur
🖖	salut vulcain
🖤	cœur noir
🖥	ordinateur de bureau
🖨	imprimante
🖱	souris d’ordinateur
🖲	boule de commande
🖼	cadre avec image
🗂	intercalaires
🗃	boîte à dossiers
🗄	meuble à dossiers
🗑	corbeille à papiers
🗒	bloc-notes à spirale
🗓	calendrier à spirale
🗜	serre-joint
🗝	clé ancienne
🗞	journal roulé
🗡	dague
🗣	tête qui parle
🗨	bulle de parole gauche
🗯	bulle colère droite
🗳	urne électorale
🗺	carte du monde
🗻	mont Fuji
🗼	tour de Tokyo
🗽	statue de la Liberté
🗾	carte du Japon
🗿	moai
😀	visage rieur
😁	visage souriant aux yeux rieurs
😂	visage riant aux larmes
😃	visage souriant avec de grands yeux
😄	visage très souriant aux yeux rieurs
😅	visage souriant avec une goutte de sueur
😆	visage souriant avec yeux plissés
😇	visage souriant avec auréole
😈	visage souriant avec des cornes
😉	visage faisant un clin d’œil
😊	visage souriant avec yeux rieurs
😋	miam
😌	visage soulagé
😍	visage souriant avec yeux en forme de cœur
😎	visage avec lunettes de soleil
😏	visage avec un sourire malin
😐	visage neutre
😑	visage sans expression
😒	visage blasé
😓	visage démoralisé avec goutte de sueur
😔	visage pensif
😕	visage confus
😖	visage déconcerté
😗	visage faisant un bisou
😘	visage envoyant un bisou
😙	visage aux yeux rieurs faisant un bisou
😚	visage faisant un bisou avec les yeux fermés
😛	visage qui tire la langue
😜	visage qui tire la langue et fait un clin d’œil
😝	visage qui tire la langue les yeux plissés
😞	visage déçu
😟	visage inquiet
😠	visage en colère
😡	visage boudeur
😢	visage qui pleure
😣	visage persévérant
😤	visage avec fumée sortant des narines
😥	visage triste mais soulagé
😦	visage mécontent avec bouche ouverte
😧	visage angoissé
😨	visage effrayé
😩	visage épuisé
😪	visage endormi
😫	visage fatigué
😬	visage grimaçant
😭	visage qui pleure à chaudes larmes
😮	visage avec bouche ouverte
😯	visage ébahi
😰	visage anxieux avec goutte de sueur
😱	visage qui hurle de peur
😲	visage stupéfait
😳	visage qui rougit
😴	visage somnolent
😵	visage étourdi
😶	visage sans bouche
😷	visage avec masque
😸	tête de chat qui sourit avec des yeux rieurs
😹	tête de chat qui pleure de joie
😺	tête de chat qui sourit
😻	tête de chat souriant avec des cœurs à la place des yeux
😼	tête de chat avec sourire en coin
😽	tête de chat qui fait un bisou
