©	copyright
🗨	nuvoletta nera
🗯	nuvoletta rabbia
🗳	urna elettorale con scheda
🗺	mappa mondiale
🗻	Monte Fuji
🗼	Torre di Tokyo
🗽	Statua della Libertà
🗾	mappa del Giappone
🗿	Moai
😀	faccina con un gran sorriso
😁	faccina raggiante con occhi felici
😂	faccina con lacrime di gioia
😃	faccina con un gran sorriso e occhi spalancati
😄	faccina con un gran sorriso e occhi sorridenti
😅	faccina con un gran sorriso e goccia di sudore
😆	sorriso a bocca aperta con occhi chiusi
😇	faccina con sorriso e aureola
😈	faccina con sorriso e corna
😉	faccina che fa l’occhiolino
😊	faccina con occhi sorridenti
😋	faccina che si lecca i baffi
😌	faccina sollevata
😍	faccina con sorriso e occhi a cuore
😎	faccina con sorriso e occhiali da sole
😏	faccina con sorrisetto
😐	faccina neutra
😑	faccina inespressiva
😒	faccina contrariata
😓	faccina sudata
😔	faccina pensierosa
😕	faccina confusa
😖	faccina frustrata
😗	faccina che bacia
😘	faccina che manda un bacio
😙	faccina che bacia con occhi sorridenti
😚	faccina che bacia con occhi chiusi
😛	faccina che mostra la lingua
😜	faccina che fa l’occhiolino e mostra la lingua
😝	faccina con un gran sorriso che mostra la lingua
😞	faccina delusa
😟	faccina preoccupata
😠	faccina arrabbiata
😡	broncio
😢	faccina che piange
😣	faccina perseverante
😤	faccina che sbuffa
😥	faccina delusa ma sollevata
😦	faccina imbronciata con bocca aperta
😧	faccina angosciata
😨	faccina impaurita
😩	faccina esausta
😪	faccina assonnata
😫	faccina stanca
😬	faccina con smorfia
😭	faccina disperata
😮	faccina con bocca aperta
😯	faccina sorpresa
😰	faccina blu sudata
😱	faccina terrorizzata
😲	faccina stupita
😳	faccina imbarazzata
😴	faccina che dorme
😵	faccina frastornata
😶	faccina senza bocca
😷	faccina con mascherina
😸	gatto che sogghigna
